source,postId,title,company,bg,product,category,country,province,city,jobType,workYears,lastUpdateTime,responsibility,requirement,skills,sourceUrl,fetchedAt
Tencent Careers,1917415886722015232,UE微恐轻动作项目-主关卡,Tencent,IEG,预研产品-手游APP-Project Metro,产品,China,,深圳,full_time,三年以上工作经验,2026年07月06日,1.作为关卡方向负责人，制定合作PVE与PVEVP关卡体系、节奏曲线、空间规则和品质标准； 2.主导关卡从主题概念、灰盒验证、玩法布点、氛围呈现、性能约束到验收上线的全流程； 3.统筹玩法、PVE、战斗、叙事、场景、美术、音频、技术关卡等协作，确保探索、搜集、遭遇、撤离和社交协作体验闭环； 4.建立模块化/半程序化关卡生产规范、评审机制、外包标准与复用组件库，提高版本产能和稳定性； 5.通过数据、热区、路线、撤离、玩家反馈等信息复盘关卡质量，持续优化难度、节奏和可重玩空间。,1.5年以上关卡策划经验，有主关卡/关卡负责人/多人项目关卡Owner经历，至少主导过一款上线或完整测试项目的关卡体系建设； 2.深入理解合作PVE、撤离玩法、轻动作、箱庭等关卡设计，对多人协作与多队冲突有方法论； 3.熟练使用UE编辑器、蓝图、关卡调试工具，具备灰盒验证、模块化搭建、性能/视线/动线控制经验； 4.有较强空间审美、节奏设计和问题诊断能力，能用作品集清晰说明从目标、布局到验证迭代的过程； 5.具备方向管理能力，能组织评审、拆解排期、指导策划/TA/外包协作，沉淀可复制的关卡方法论。,Testing|Design,http://careers.tencent.com/jobdesc.html?postId=1917415886722015232,2026-07-20T14:33:38+08:00
Tencent Careers,2010690386942644224,Supercell游戏-中国区电竞经理/电竞负责人,Tencent,IEG,Supercell战略-游戏其他,营销与公关,China,,深圳,full_time,两年以上工作经验,2026年06月17日,1.链接全球Supercell赛事体系，结合中国本地市场特性，制定符合产品与市场需求的赛事目标、策略与执行计划； 2.负责Supercell赛事和电竞运营工作，完成内外部渠道的宣发推广及持续运营，促进观赛用户增长，提升赛事影响力； 3.深度整合全球赛事体系资源，根据中国玩家特点与市场环境，优化赛事结构，提升赛事吸引力和参与度，将赛事作为玩家和运营的链接桥梁； 4.与全球及本地团队紧密合作，确保赛事方案的高效推进与高质量呈现。,1.对Supercell游戏有浓厚兴趣并拥有多年的游戏经历，深入了解其玩法与玩家生态； 2.具备丰富的全球电竞赛事认知，熟悉电竞行业的发展趋势，对多种类型游戏的电竞策略有深入理解，并能制定出Supercell的电竞策略； 3.拥有全球电竞赛事的搭建与落地能力，能够独立策划并执行具有影响力的赛事项目； 4.具备优秀的沟通与表达能力，能够高效推动跨部门、跨团队的协作，确保项目按时高质量交付；拥有优秀的策划与文案能力，能够撰写清晰、逻辑性强的赛事策划案与执行方案； 5.英语听说读写能力优秀，能够与国际团队进行无障碍的商务沟通与协作。,Product|Marketing,http://careers.tencent.com/jobdesc.html?postId=2010690386942644224,2026-07-20T14:33:38+08:00
Tencent Careers,2059110495713144832,微信支付-基础产品经理,Tencent,WXG,微信支付,产品,China,,深圳,full_time,三年以上工作经验,2026年06月30日,1.结合法律、行业趋势、用户需求，面向C端用户的鉴权与身份核验场景，输出产品解决方案，为用户提供安全、方便、好用的验密/刷脸/证件照片验证等基础产品服务； 2.建立和完善产品机制、运营规范，充分匹配用户意愿的前提下，帮助用户高效解决问题，保障用户的权益和使用体验； 3.结合用户行为和实际需求，持续探索创新应用场景、改进用户体验，赢得用户口碑。,1.快速学习业务知识并应用于产品策划工作，善于分析洞察并解决问题； 2.逻辑思维能力强，执行能力、抗压能力强，对支付领域的产品工作有热情； 3.具备强自驱和owner意识，可以熟练使用AI工具帮助工作提效； 4.勇于创新和探索，同时具备良好的沟通能力以及团队合作精神。,Security|Product|Marketing,http://careers.tencent.com/jobdesc.html?postId=2059110495713144832,2026-07-20T14:33:38+08:00
Tencent Careers,2046473336116117504,《洛克王国：世界》-高级游戏策划-技能设计方向,Tencent,IEG,NRC-手游APP,产品,China,,深圳,full_time,五年以上工作经验,2026年05月08日,1.负责洛克王国手游的技能特性设计、主角魔法设计、平衡性管理工作； 2.独立完成需求案撰写、跟进相关战斗系统制作并确保其按质按量完成； 3.在既存技能设计体系下进行拓展并完成高品质机制设计、技能设计； 4.尝试在上述工作中建立有一致性的技能设计理念并持续优化。,1.本科或以上学历，5年以上的回合制战斗策划、或2年以上战斗策划组长/主策划工作经验； 2.性格开朗，细心负责，善于沟通，热爱游戏设计与游戏研发； 3.有精灵/宠物收集品类游戏经验者优先； 4.熟悉洛克王国IP者优先。,Design,http://careers.tencent.com/jobdesc.html?postId=2046473336116117504,2026-07-20T14:33:38+08:00
Tencent Careers,1896859078659973120,智能体-全栈开发工程师-CodeBuddy/WorkBuddy,Tencent,CSIG,腾讯云,技术,China,,深圳,full_time,三年以上工作经验,2026年07月06日,1.负责腾讯云CodeBuddy/WorkBuddy在垂直子领域的全链路研发工作，涵盖需求分析、架构设计、前后端开发及模型集成； 2.主导技术方案规划与评审，精心输出高质量设计文档，全力协调前后端及算法团队达成技术方案落地实施； 3.积极推动研发流程标准化，合理制定迭代计划并精准把控交付节奏，保证功能按时且高质量交付； 4.构建代码质量监控体系，主导性能优化与体验提升工作，有效提高产品内建质量与生成效果； 5.深度参与 AI 模型工程化落地，巧妙设计模型服务接口与数据交互方案，大力优化推理效率与资源消耗。,1.计算机相关专业本科及以上学历，拥有 3 年以上全栈开发经验，并主导过复杂系统全生命周期研发； 2.精通至少两种技术栈组合，如 TypeScript+Node.js+Python/Java+React+Go，具备跨平台开发经验者优先； 3.熟悉分布式系统设计，熟练掌握微服务、容器化、CI/CD 等工程实践，有高并发场景优化经验； 4.具备出色的技术方案规划能力，能够输出符合 Clean Architecture/Domain-Driven Design 原则的设计文档； 5.熟悉 AI 工程化流程，有 Prompt 工程、RAG 应用或大模型微调经验者优先； 6.强烈的 owner 意识，具备优秀的跨团队协同能力，主导过 5 人以上研发团队协作经验优先。,Java|Python|Go|JavaScript|React|Docker|Microservices|DevOps|LLM|RAG|Product|Design|Prompt Engineering,http://careers.tencent.com/jobdesc.html?postId=1896859078659973120,2026-07-20T14:33:38+08:00
Tencent Careers,2034098628230021120,金铲铲之战-高级游戏运营,Tencent,IEG,发行线（IEG）,产品,China,,深圳,full_time,三年以上工作经验,2026年06月16日,1.负责高清版本的产品运营工作，主动探索和提升高清版的产品品质及用户体验； 2.与多团队协作，制定上线发行计划，跟踪项目进度，主动识别和预警项目风险（如技术、资源、时间风险），并推动解决方案落地； 3.协作产品研发、安全、运维、数据等团队确保产品质量稳定及运营无风险； 4.分析游戏数据，挖掘玩家需求，优化游戏体验，推动游戏内容迭代和玩法创新。,"1.熟悉英雄联盟IP，热爱自走棋品类，对品类玩法、用户及商业化模式有充分的认知和理解； 2.本科及以上学历,3年以上游戏行业经验，有知名PC游戏产品运营相关经验者优先； 3.对数据敏感，熟练运营各类数据分析工具； 4.积极主动，自驱力强，良好的沟通及团队合作意识，抗压能力强； 5.对主流产品的核心玩法、社交系统、活动系统有一定的研究心得，熟悉用户心理、行为习惯及社交传播；能够独立设计和跟进开发验收活动、产品能力。",Security|Product|Marketing|Design,http://careers.tencent.com/jobdesc.html?postId=2034098628230021120,2026-07-20T14:33:38+08:00
Tencent Careers,2068901005898203136,腾讯视频-衍生品产品企划经理,Tencent,PCG,腾讯视频,内容,China,,北京,full_time,三年以上工作经验,2026年06月23日,1.基于周边市场趋势，用户需求洞察，充分了解并挖掘IP潜力，制定重点IP的衍生品产品规划，明确产品线布局与商业目标，持续打造有竞争力的商品； 2.统筹商品开发全流程，推动商品企划、设计协同、产品设计、打样、监修、生产及销售，保证产品按期上线； 3.协同供应商，优化供应商、供应链效率，建立长期稳定的合作关系； 4.推进与协同部门制定新品推广、销售策略，推动销售目标达成； 5.监控商品动销与用户反馈，分析商品表现，迭代商品开发策略。,1.本科及以上学历，3-5年ACGN衍生品或文创产品行业经验，熟悉衍生品设计制作流程； 2.具备产品创意能力，熟悉衍生品生产制作工艺、材质、工序等； 3.了解国漫、二次元作品及衍生品市场动态，有成功主导的衍生品项目案例优先； 4.具有良好的团队协作能力，较强的执行力，结果导向，抗压能力强。,Product|Design,http://careers.tencent.com/jobdesc.html?postId=2068901005898203136,2026-07-20T14:33:38+08:00
Tencent Careers,2028682235867201536,《无畏契约手游》-前端开发工程师,Tencent,IEG,CodeV-手游APP,技术,China,,深圳,full_time,三年以上工作经验,2026年06月03日,1.负责游戏官网、活动页、小程序等多终端页面前端开发与迭代维护，保障跨设备（PC/移动）用户体验流畅性与视觉一致性； 2.主导手游营销场景技术创新与预研，深度探索 “AI + 营销” 线上落地（如智能互动、个性化推荐）及线下沉浸式互动体验开发（含互动装置、AI、多屏互动等）​； 3.推进前端工程化体系建设，优化构建流程、组件库、自动化工具等，提升团队开发效率、代码质量与项目可维护性​； 4.与后端、设计、产品团队紧密协作，完成接口对接、数据交互逻辑实现及需求落地，确保跨团队协作顺畅​； 5.持续优化用户端性能（加载速度、响应效率），解决多终端兼容性问题，保障高并发场景下的系统稳定性与可用性。,1.计算机相关专业本科及以上学历，3年以上前端开发经验​； 2.精通 Web 标准，熟练运用 HTML5/CSS3、JavaScript 构建高性能、高兼容性的 PC/移动页面及小程序​； 3.熟练掌握至少一种主流前端框架（Vue.js/React/Angular），具备实际项目落地经验并理解框架底层原理​； 4.扎实的 JavaScript/TypeScript 基础，熟练运用 ES6 + 语法，具备模块化、工程化开发思维​； 5.至少熟悉一门后端语言（GO/PHP/Node.js 等），有接口联调经验，能独立解决前后端协作问题； 6.具备至少一门后端语言（如 GO/PHP/Node.js 等）的实际开发经验，能独立完成后端接口的设计、封装与调试，兼顾接口安全性（如权限校验、防注入）、性能优化（如请求合并、缓存设计）等核心维度（加分项）； 7.熟悉移动端适配方案、前端性能优化策略（资源压缩、懒加载、缓存策略等），掌握主流调试工具并有复杂应用优化经验​； 8.对游戏行业有热情，逻辑清晰，具备良好的沟通表达能力、团队协作意识及抗压能力，能快速响应业务需求。,Java|Go|JavaScript|React|Vue|Redis|Security|Product|Design,http://careers.tencent.com/jobdesc.html?postId=2028682235867201536,2026-07-20T14:33:38+08:00
Tencent Careers,1998985778591584256,魔方电竞赛事策划经理--新星引力计划,Tencent,IEG,公共,营销与公关,China,,深圳,full_time,三年以上工作经验,2026年06月17日,1.负责《暗区突围》电竞赛事规划及落地，根据产品和市场特性，制定赛事目标、策略与计划，并落地执行； 2.与项目研发及各版块人员保持密切协作关系，挖掘探索调优赛事模式与赛事价值，驱动呈现优质的赛事内容与赛事用户价值最大化； 3.通过赛事数据、用户反馈与市场状态做持续追踪与分析，快速迭代优化电竞策略，并沉淀经验与方法； 4.整合赛事策划与营销策略、赛事生态等各版块，协调各种资源达成目标，实现项目效果最大化； 5.有强赛事敏锐度，能够准确把握赛事热点动向，熟悉电竞用户社交矩阵及观赛习惯，能够整合调动直播平台、KOL、赛事媒体等资源，助力运营及发行活动。,1.电竞赛事或者游戏行业工作经验，对电竞和体育行业有深入了解，有参与运作大型电竞赛事策划及执行的完整经验，有海外赛事策划经验更优； 2.热爱电竞、热爱游戏、热爱FPS、热爱体育，对搜打撤射击品类有较深的了解，了解Z时代玩家情况，有玩家服务意识； 3.对数据敏感，整合营销手段与直播平台数据快速分析并进行电竞策略调整； 4.有独立项目统筹能力和团队经验，善于整合内外部资源完成赛事策划与落地执行。,Product|Marketing,http://careers.tencent.com/jobdesc.html?postId=1998985778591584256,2026-07-20T14:33:38+08:00
Tencent Careers,1926831321020211200,《三角洲行动》叙事策划,Tencent,IEG,,产品,China,,上海,full_time,五年以上工作经验,2026年06月29日,1.参与游戏的干员、赛季或其他重要文案内容的设计与创作，负责制订落地方案并跟进实施； 2.负责游戏核心系统和玩法，如商业化、活动、关卡玩法等内容的设计与包装，确保具有高品质的内容表达； 3.建立维护文案设计和制作的生产管线，确保产出的各项内容符合世界观表达与高质要求； 4.协助其他团队完成市场、运营等方面的文案需求，提升整体项目的文案质量和用户体验。,1.本科以上学历，5年以上相关工作经验，有成熟上线的内容型项目经验； 2.了解熟悉射击游戏，具有较好的审美与文字功底，能够把握当下用户对于叙事与视觉的需求； 3.熟练掌握UE配置、资源管理、版本效果提升等内容者优先； 4.具有良好的英文交流能力，具有国际化视野的优先； 5.具有良好的团队合作意识和学习能力，沟通能力优秀，具有较强的责任心。,Marketing|Design,http://careers.tencent.com/jobdesc.html?postId=1926831321020211200,2026-07-20T14:33:38+08:00
