application_id,resume_id,job_record_id,job_title,company,source_id,matched_skills,missing_skills,skill_match_rate,dimension_match_rate,experience_match_score,education_match_score,relative_ability_score,success_probability,outcome_label,scoring_basis,scored_at
synthetic:resume-ai-001:tencent_careers:2008376135062278144,resume-ai-001,tencent_careers:2008376135062278144,腾讯游戏-多模态世界模型算法研究专家-视频生成方向,Tencent,tencent_careers,LLM,Machine Learning|Deep Learning|Design,0.25,0.5,0.0,0.35,29.75,0.1871,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-java-001:tencent_careers:2008376135062278144,resume-java-001,tencent_careers:2008376135062278144,腾讯游戏-多模态世界模型算法研究专家-视频生成方向,Tencent,tencent_careers,Design,Machine Learning|Deep Learning|LLM,0.25,0.5,0.6,0.35,41.75,0.3005,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-ai-001:tencent_careers:2029862287371825152,resume-ai-001,tencent_careers:2029862287371825152,智能运维AI Agent平台-资深软件开发工程师,Tencent,tencent_careers,Python|LLM|RAG,Java|Go|C++|Microservices|Machine Learning|Product|Design|Prompt Engineering,0.2727,0.4,0.0,0.35,28.77,0.1795,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-java-001:tencent_careers:2029862287371825152,resume-java-001,tencent_careers:2029862287371825152,智能运维AI Agent平台-资深软件开发工程师,Tencent,tencent_careers,Java|Microservices|Design,Python|Go|C++|Machine Learning|LLM|RAG|Product|Prompt Engineering,0.2727,0.6,1.0,0.35,52.77,0.4325,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-ai-001:tencent_careers:2001341503481466880,resume-ai-001,tencent_careers:2001341503481466880,《三角洲行动》-客户端开发工程师-玩法,Tencent,tencent_careers,,C++|Design,0.0,0.5,0.0,1.0,25.0,0.1524,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-java-001:tencent_careers:2001341503481466880,resume-java-001,tencent_careers:2001341503481466880,《三角洲行动》-客户端开发工程师-玩法,Tencent,tencent_careers,Design,C++,0.5,1.0,1.0,1.0,77.5,0.7338,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-ai-001:tencent_careers:1996181132168814592,resume-ai-001,tencent_careers:1996181132168814592,企业微信-产品经理-生态合作,Tencent,tencent_careers,,Product|Design,0.0,0.0,0.0,0.35,8.5,0.0708,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-java-001:tencent_careers:1996181132168814592,resume-java-001,tencent_careers:1996181132168814592,企业微信-产品经理-生态合作,Tencent,tencent_careers,Design,Product,0.5,0.5,1.0,0.35,61.0,0.5389,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-ai-001:tencent_careers:2071866597051641856,resume-ai-001,tencent_careers:2071866597051641856,技术动画专家,Tencent,tencent_careers,,Design|Unity,0.0,0.0,0.0,1.0,15.0,0.0966,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
synthetic:resume-java-001:tencent_careers:2071866597051641856,resume-java-001,tencent_careers:2071866597051641856,技术动画专家,Tencent,tencent_careers,Design,Unity,0.5,1.0,0.6,1.0,69.5,0.6452,,rule_based_skill_dimension_experience_education_quality,2026-07-15T19:11:15+08:00
