version_id,period,node_count,edge_count,job_count,skill_mentions
kg-2024-08,2024-08,21,21,1,7
kg-2024-09,2024-09,29,34,1,7
kg-2024-12,2024-12,34,40,2,3
kg-2025-01,2025-01,34,41,1,3
kg-2025-02,2025-02,37,48,6,12
kg-2025-03,2025-03,47,68,4,22
kg-2025-04,2025-04,48,71,2,5
kg-2025-05,2025-05,51,79,5,16
kg-2025-06,2025-06,49,80,7,20
kg-2025-07,2025-07,49,84,6,16
kg-2025-08,2025-08,49,88,8,31
kg-2025-09,2025-09,68,150,34,184
kg-2025-10,2025-10,71,161,25,93
kg-2025-11,2025-11,73,182,30,152
kg-2025-12,2025-12,75,201,35,124
kg-2026-01,2026-01,81,221,63,209
kg-2026-02,2026-02,81,224,61,198
kg-2026-03,2026-03,89,250,192,635
kg-2026-04,2026-04,129,347,405,1186
kg-2026-05,2026-05,131,399,812,2459
kg-2026-06,2026-06,235,638,5104,10005
kg-2026-07,2026-07,625,1176,47950,54420
