alias,canonical_role_id,canonical_role,evidence_count
(10000元以上高薪)口腔医生,backend-engineer,后端工程师,133
(高薪10000元以上)口腔医生,backend-engineer,后端工程师,123
(急招)口腔医生,backend-engineer,后端工程师,69
(急招)护士,backend-engineer,后端工程师,65
(急招)口腔护士,backend-engineer,后端工程师,54
商务拓展,backend-engineer,后端工程师,54
普工,backend-engineer,后端工程师,52
小学教师,backend-engineer,后端工程师,50
初中教师,backend-engineer,后端工程师,47
中教师,backend-engineer,后端工程师,46
渠道销售专员,operations-specialist,运营,42
线教师,backend-engineer,后端工程师,41
小初线教师,backend-engineer,后端工程师,40
电工,backend-engineer,后端工程师,40
护士,backend-engineer,后端工程师,39
(20000元以上高薪)口腔医生,backend-engineer,后端工程师,38
口腔医生,backend-engineer,后端工程师,37
「YYDS」招人啦!口腔医生,backend-engineer,后端工程师,36
「YYDS」招人啦!护士,backend-engineer,后端工程师,35
保洁员,backend-engineer,后端工程师,35
销售代表,backend-engineer,后端工程师,34
销售工程师,backend-engineer,后端工程师,34
销售总监,backend-engineer,后端工程师,33
保安,backend-engineer,后端工程师,32
保洁,backend-engineer,后端工程师,32
成本会计,backend-engineer,后端工程师,32
城市合伙人,backend-engineer,后端工程师,31
(高薪15000元以上)口腔医生,backend-engineer,后端工程师,30
(15000元以上高薪)口腔医生,backend-engineer,后端工程师,29
"(急招)护士,口腔护士",backend-engineer,后端工程师,29
(高薪20000元以上)口腔医生,backend-engineer,后端工程师,29
[直聘]护士,backend-engineer,后端工程师,29
口腔护士,backend-engineer,后端工程师,29
操作工,backend-engineer,后端工程师,29
新媒体运营,operations-specialist,运营,29
「YYDS」招人啦!口腔护士,backend-engineer,后端工程师,28
专员,backend-engineer,后端工程师,28
商经理,backend-engineer,后端工程师,28
营销代表,backend-engineer,后端工程师,28
财务经理,backend-engineer,后端工程师,28
产品经理,product-manager,产品经理,27
HRBP,backend-engineer,后端工程师,27
市场营销,backend-engineer,后端工程师,27
收银员,backend-engineer,后端工程师,27
机械工程师,backend-engineer,后端工程师,27
生产经理,backend-engineer,后端工程师,27
电气工程师,backend-engineer,后端工程师,27
行政专员,backend-engineer,后端工程师,27
行政经理,backend-engineer,后端工程师,27
采购经理,backend-engineer,后端工程师,27
OTC推广主管,backend-engineer,后端工程师,26
公众号编辑,backend-engineer,后端工程师,26
钳工,backend-engineer,后端工程师,26
销售业务经理,backend-engineer,后端工程师,26
销售经理,backend-engineer,后端工程师,26
产品订单处理专员,product-manager,产品经理,25
(高薪10000元以上)中医医生,backend-engineer,后端工程师,25
会计,backend-engineer,后端工程师,25
客服专员,backend-engineer,后端工程师,25
普工操作工,backend-engineer,后端工程师,25
法务,backend-engineer,后端工程师,25
网络管理员,backend-engineer,后端工程师,25
财务总监,backend-engineer,后端工程师,25
采购专员,backend-engineer,后端工程师,25
会计会计师,backend-engineer,后端工程师,24
出纳,backend-engineer,后端工程师,24
法务专员,backend-engineer,后端工程师,24
焊工,backend-engineer,后端工程师,24
运营总监,operations-specialist,运营,24
(10000元以上高薪)中医医生,backend-engineer,后端工程师,23
(高薪10000元以上)口腔执业医生,backend-engineer,后端工程师,23
区域销售,backend-engineer,后端工程师,23
客服经理,backend-engineer,后端工程师,23
研发工程师,backend-engineer,后端工程师,23
质检员,backend-engineer,后端工程师,23
销售代表兼职,backend-engineer,后端工程师,23
(10000元以上高薪)口腔执业医生,backend-engineer,后端工程师,22
人力资源专员,backend-engineer,后端工程师,22
出纳员,backend-engineer,后端工程师,22
总账会计,backend-engineer,后端工程师,22
物流配送员包,backend-engineer,后端工程师,22
营销经理,backend-engineer,后端工程师,22
行政文员,backend-engineer,后端工程师,22
采购员,backend-engineer,后端工程师,22
采购工程师,backend-engineer,后端工程师,22
项目经理,role-项目经理,项目经理,22
运维工程师,cloud-sre-engineer,云原生 SRE 工程师,21
[待遇优]口腔医生,backend-engineer,后端工程师,21
[放心投]护士,backend-engineer,后端工程师,21
【机会来了】口腔医生,backend-engineer,后端工程师,21
人事经理,backend-engineer,后端工程师,21
仓库管理员,backend-engineer,后端工程师,21
保安员,backend-engineer,后端工程师,21
化验员,backend-engineer,后端工程师,21
工程经理,backend-engineer,后端工程师,21
总经理,backend-engineer,后端工程师,21
检验员,backend-engineer,后端工程师,21
物业经理,backend-engineer,后端工程师,21
电焊工,backend-engineer,后端工程师,21
安全员,security-engineer,安全工程师,21
