period,role_id,role,skill,dimension,demand,source_count
2024-08,role-associate-solution-architect-103937,Associate Solution Architect 103937,Go,编程语言,1,1
2024-08,role-associate-solution-architect-103937,Associate Solution Architect 103937,RAG,人工智能,1,1
2024-08,role-associate-solution-architect-103937,Associate Solution Architect 103937,Design,设计体验,1,1
2024-08,role-associate-solution-architect-103937,Associate Solution Architect 103937,Excel,办公分析,1,1
2024-09,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2024-09,java-backend-engineer,Java 后端工程师,Go,编程语言,1,1
2024-09,java-backend-engineer,Java 后端工程师,机器学习,其他能力,1,1
2024-09,java-backend-engineer,Java 后端工程师,NLP,人工智能,1,1
2024-09,java-backend-engineer,Java 后端工程师,Machine Learning,人工智能,1,1
2024-09,java-backend-engineer,Java 后端工程师,Design,设计体验,1,1
2025-03,java-backend-engineer,Java 后端工程师,Java,编程语言,1,1
2025-03,java-backend-engineer,Java 后端工程师,Go,编程语言,1,1
2025-03,java-backend-engineer,Java 后端工程师,C++,编程语言,1,1
2025-03,java-backend-engineer,Java 后端工程师,SQL,数据技术,1,1
2025-03,java-backend-engineer,Java 后端工程师,Redis,数据存储,1,1
2025-03,java-backend-engineer,Java 后端工程师,Linux,基础设施,1,1
2025-03,java-backend-engineer,Java 后端工程师,RAG,人工智能,1,1
2025-03,java-backend-engineer,Java 后端工程师,JavaScript,编程语言,1,1
2025-03,java-backend-engineer,Java 后端工程师,Product,产品运营,1,1
2025-03,java-backend-engineer,Java 后端工程师,Design,设计体验,1,1
2025-03,java-backend-engineer,Java 后端工程师,Excel,办公分析,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Python,编程语言,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,C++,编程语言,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Linux,基础设施,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2025-05,ai-algorithm-engineer,AI 算法工程师,Excel,办公分析,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,NLP,人工智能,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,Machine Learning,人工智能,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,LLM,人工智能,1,1
2025-07,ai-algorithm-engineer,AI 算法工程师,Design,设计体验,1,1
2025-09,role-3d-model-scene-and-avatar-generation-algorithm-research-intern-106126,"3D Model, Scene, and Avatar Generation Algorithm Research Intern 106126",Go,编程语言,1,1
2025-09,role-3d-model-scene-and-avatar-generation-algorithm-research-intern-106126,"3D Model, Scene, and Avatar Generation Algorithm Research Intern 106126",Testing,质量保障,1,1
2025-09,ai-algorithm-engineer,AI 算法工程师,Go,编程语言,4,1
2025-09,ai-algorithm-engineer,AI 算法工程师,机器学习,其他能力,3,1
